  x  	  n(x)  	  dndx(x)  	  Alfa  	  Band gap  	  EQ Field
 1.919e-06	1.004e+11	-1.519e+16	1.011e+07	2.45	-1.615e+05
 1.927e-06	1.003e+11	-1.517e+16	1.013e+07	2.449	-1.615e+05
 1.934e-06	1.002e+11	-1.515e+16	1.014e+07	2.448	-1.615e+05
 1.942e-06	1.001e+11	-1.513e+16	1.015e+07	2.446	-1.615e+05
  1.95e-06	9.995e+10	-1.511e+16	1.016e+07	2.445	-1.615e+05
 1.958e-06	9.983e+10	-1.51e+16	1.018e+07	2.444	-1.615e+05
 1.966e-06	9.971e+10	-1.508e+16	1.019e+07	2.442	-1.615e+05
 1.973e-06	9.96e+10	-1.506e+16	1.02e+07	2.441	-1.615e+05
 1.981e-06	9.948e+10	-1.504e+16	1.022e+07	2.44	-1.615e+05
 1.989e-06	9.936e+10	-1.503e+16	1.023e+07	2.439	-1.615e+05
 1.997e-06	9.924e+10	-1.501e+16	1.024e+07	2.437	-1.615e+05
 2.005e-06	9.913e+10	-1.499e+16	1.025e+07	2.436	-1.615e+05
 2.012e-06	9.901e+10	-1.497e+16	1.027e+07	2.435	-1.615e+05
  2.02e-06	9.889e+10	-1.496e+16	1.028e+07	2.434	-1.615e+05
 2.028e-06	9.878e+10	-1.494e+16	1.029e+07	2.432	-1.615e+05
 2.036e-06	9.866e+10	-1.492e+16	1.031e+07	2.431	-1.615e+05
 2.044e-06	9.854e+10	-1.49e+16	1.032e+07	2.43	-1.615e+05
 2.051e-06	9.843e+10	-1.488e+16	1.033e+07	2.429	-1.615e+05
 2.059e-06	9.831e+10	-1.487e+16	1.034e+07	2.427	-1.615e+05
 2.067e-06	9.82e+10	-1.485e+16	1.036e+07	2.426	-1.615e+05
 2.075e-06	9.808e+10	-1.483e+16	1.037e+07	2.425	-1.615e+05
 2.083e-06	9.797e+10	-1.481e+16	1.038e+07	2.424	-1.615e+05
  2.09e-06	9.785e+10	-1.48e+16	1.04e+07	2.422	-1.615e+05
 2.098e-06	9.773e+10	-1.478e+16	1.041e+07	2.421	-1.615e+05
 2.106e-06	9.762e+10	-1.476e+16	1.042e+07	2.42	-1.615e+05
 2.114e-06	9.75e+10	-1.474e+16	1.044e+07	2.419	-1.615e+05
 2.122e-06	9.739e+10	-1.473e+16	1.045e+07	2.417	-1.615e+05
 2.129e-06	9.727e+10	-1.471e+16	1.046e+07	2.416	-1.615e+05
 2.137e-06	9.716e+10	-1.469e+16	1.048e+07	2.415	-1.615e+05
 2.145e-06	9.705e+10	-1.468e+16	1.049e+07	2.414	-1.615e+05
 2.153e-06	9.693e+10	-1.466e+16	1.05e+07	2.412	-1.615e+05
 2.161e-06	9.682e+10	-1.464e+16	1.052e+07	2.411	-1.615e+05
 2.168e-06	9.67e+10	-1.462e+16	1.053e+07	2.41	-1.615e+05
 2.176e-06	9.659e+10	-1.461e+16	1.054e+07	2.408	-1.615e+05
 2.184e-06	9.647e+10	-1.459e+16	1.056e+07	2.407	-1.615e+05
 2.192e-06	9.636e+10	-1.457e+16	1.057e+07	2.406	-1.615e+05
   2.2e-06	9.625e+10	-1.455e+16	1.058e+07	2.405	-1.615e+05
 2.207e-06	9.613e+10	-1.454e+16	1.06e+07	2.403	-1.615e+05
