x 	 n(x) 	 p(x) 	 Conduction level 	 Valence level 	 Fermi level 	 Generation 
 2.242e-06	1.498e+15	2.861e+17	1.855	-0.1206	0.25	2.125e+26
 2.244e-06	1.502e+15	2.856e+17	1.854	-0.1213	0.25	2.133e+26
 2.245e-06	1.506e+15	2.851e+17	1.853	-0.1221	0.25	2.141e+26
 2.246e-06	1.51e+15	2.847e+17	1.852	-0.1228	0.25	2.15e+26
 2.247e-06	1.514e+15	2.842e+17	1.851	-0.1236	0.25	2.159e+26
 2.248e-06	1.519e+15	2.837e+17	1.85	-0.1243	0.25	2.169e+26
  2.25e-06	1.523e+15	2.832e+17	1.849	-0.1251	0.25	2.178e+26
 2.251e-06	1.527e+15	2.827e+17	1.848	-0.1258	0.25	2.184e+26
 2.252e-06	1.531e+15	2.822e+17	1.847	-0.1266	0.25	2.191e+26
 2.253e-06	1.535e+15	2.817e+17	1.846	-0.1273	0.25	2.198e+26
 2.254e-06	1.54e+15	2.812e+17	1.845	-0.1281	0.25	2.206e+26
 2.256e-06	1.544e+15	2.807e+17	1.844	-0.1288	0.25	2.214e+26
 2.257e-06	1.548e+15	2.802e+17	1.843	-0.1296	0.25	2.223e+26
 2.258e-06	1.552e+15	2.797e+17	1.842	-0.1303	0.25	2.232e+26
 2.259e-06	1.557e+15	2.793e+17	1.841	-0.1311	0.25	2.241e+26
  2.26e-06	1.561e+15	2.788e+17	1.84	-0.1318	0.25	2.252e+26
 2.262e-06	1.565e+15	2.783e+17	1.839	-0.1326	0.25	2.262e+26
 2.263e-06	1.569e+15	2.778e+17	1.838	-0.1334	0.25	2.274e+26
 2.264e-06	1.574e+15	2.773e+17	1.837	-0.1341	0.25	2.285e+26
 2.265e-06	1.578e+15	2.768e+17	1.836	-0.1349	0.25	2.293e+26
 2.266e-06	1.583e+15	2.763e+17	1.835	-0.1357	0.25	2.301e+26
 2.268e-06	1.587e+15	2.758e+17	1.834	-0.1364	0.25	2.309e+26
 2.269e-06	1.591e+15	2.753e+17	1.833	-0.1372	0.25	2.318e+26
  2.27e-06	1.596e+15	2.748e+17	1.832	-0.138	0.25	2.327e+26
 2.271e-06	1.6e+15	2.744e+17	1.831	-0.1387	0.25	2.337e+26
 2.272e-06	1.605e+15	2.739e+17	1.83	-0.1395	0.25	2.348e+26
 2.274e-06	1.609e+15	2.734e+17	1.829	-0.1403	0.25	2.359e+26
 2.275e-06	1.614e+15	2.729e+17	1.827	-0.141	0.25	2.371e+26
 2.276e-06	1.618e+15	2.724e+17	1.826	-0.1418	0.25	2.383e+26
 2.277e-06	1.623e+15	2.719e+17	1.825	-0.1426	0.25	2.396e+26
 2.278e-06	1.627e+15	2.714e+17	1.824	-0.1434	0.25	2.407e+26
  2.28e-06	1.632e+15	2.709e+17	1.823	-0.1442	0.25	2.416e+26
 2.281e-06	1.636e+15	2.705e+17	1.822	-0.1449	0.25	2.425e+26
 2.282e-06	1.641e+15	2.7e+17	1.821	-0.1457	0.25	2.435e+26
 2.283e-06	1.645e+15	2.695e+17	1.82	-0.1465	0.25	2.445e+26
 2.284e-06	1.65e+15	2.69e+17	1.819	-0.1473	0.25	2.456e+26
 2.286e-06	1.655e+15	2.685e+17	1.818	-0.1481	0.25	2.467e+26
 2.287e-06	1.659e+15	2.68e+17	1.817	-0.1489	0.25	2.48e+26
 2.288e-06	1.664e+15	2.676e+17	1.816	-0.1497	0.25	2.493e+26
 2.289e-06	1.669e+15	2.671e+17	1.815	-0.1505	0.25	2.506e+26
  2.29e-06	1.674e+15	2.666e+17	1.814	-0.1513	0.25	2.521e+26
 2.292e-06	1.678e+15	2.661e+17	1.813	-0.152	0.25	2.532e+26
 2.293e-06	1.683e+15	2.656e+17	1.811	-0.1528	0.25	2.542e+26
 2.294e-06	1.688e+15	2.652e+17	1.81	-0.1536	0.25	2.552e+26
 2.295e-06	1.693e+15	2.647e+17	1.809	-0.1544	0.25	2.563e+26
 2.296e-06	1.697e+15	2.642e+17	1.808	-0.1552	0.25	2.574e+26
 2.298e-06	1.702e+15	2.637e+17	1.807	-0.156	0.25	2.587e+26
 2.299e-06	1.707e+15	2.632e+17	1.806	-0.1568	0.25	2.599e+26
   2.3e-06	1.712e+15	2.628e+17	1.805	-0.1577	0.25	2.613e+26
 2.301e-06	1.717e+15	2.623e+17	1.804	-0.1585	0.25	2.627e+26
 2.302e-06	1.722e+15	2.618e+17	1.803	-0.1593	0.25	2.642e+26
 2.304e-06	1.727e+15	2.613e+17	1.802	-0.1601	0.25	2.657e+26
 2.305e-06	1.732e+15	2.609e+17	1.8	-0.1609	0.25	2.668e+26
 2.306e-06	1.737e+15	2.604e+17	1.799	-0.1617	0.25	2.679e+26
 2.307e-06	1.742e+15	2.599e+17	1.798	-0.1625	0.25	2.691e+26
 2.308e-06	1.747e+15	2.594e+17	1.797	-0.1633	0.25	2.703e+26
  2.31e-06	1.752e+15	2.59e+17	1.796	-0.1641	0.25	2.716e+26
 2.311e-06	1.757e+15	2.585e+17	1.795	-0.165	0.25	2.73e+26
 2.312e-06	1.762e+15	2.58e+17	1.794	-0.1658	0.25	2.744e+26
 2.313e-06	1.767e+15	2.576e+17	1.793	-0.1666	0.25	2.76e+26
 2.314e-06	1.772e+15	2.571e+17	1.791	-0.1674	0.25	2.776e+26
 2.316e-06	1.777e+15	2.566e+17	1.79	-0.1682	0.25	2.792e+26
 2.317e-06	1.783e+15	2.562e+17	1.789	-0.1691	0.25	2.804e+26
 2.318e-06	1.788e+15	2.557e+17	1.788	-0.1699	0.25	2.816e+26
 2.319e-06	1.793e+15	2.552e+17	1.787	-0.1707	0.25	2.828e+26
  2.32e-06	1.798e+15	2.548e+17	1.786	-0.1715	0.25	2.841e+26
 2.322e-06	1.803e+15	2.543e+17	1.785	-0.1724	0.25	2.854e+26
 2.323e-06	1.809e+15	2.538e+17	1.783	-0.1732	0.25	2.869e+26
 2.324e-06	1.814e+15	2.534e+17	1.782	-0.174	0.25	2.884e+26
 2.325e-06	1.819e+15	2.529e+17	1.781	-0.1749	0.25	2.901e+26
 2.326e-06	1.825e+15	2.525e+17	1.78	-0.1757	0.25	2.918e+26
 2.328e-06	1.83e+15	2.52e+17	1.779	-0.1765	0.25	2.933e+26
 2.329e-06	1.835e+15	2.515e+17	1.778	-0.1774	0.25	2.945e+26
  2.33e-06	1.841e+15	2.511e+17	1.776	-0.1782	0.25	2.958e+26
 2.331e-06	1.846e+15	2.506e+17	1.775	-0.1791	0.25	2.971e+26
 2.332e-06	1.852e+15	2.502e+17	1.774	-0.1799	0.25	2.985e+26
 2.334e-06	1.857e+15	2.497e+17	1.773	-0.1807	0.25	2.999e+26
 2.335e-06	1.863e+15	2.493e+17	1.772	-0.1816	0.25	3.015e+26
 2.336e-06	1.868e+15	2.488e+17	1.771	-0.1824	0.25	3.032e+26
 2.337e-06	1.874e+15	2.483e+17	1.769	-0.1833	0.25	3.05e+26
 2.338e-06	1.879e+15	2.479e+17	1.768	-0.1841	0.25	3.067e+26
  2.34e-06	1.885e+15	2.474e+17	1.767	-0.185	0.25	3.08e+26
 2.341e-06	1.89e+15	2.47e+17	1.766	-0.1858	0.25	3.092e+26
 2.342e-06	1.896e+15	2.465e+17	1.765	-0.1867	0.25	3.106e+26
 2.343e-06	1.902e+15	2.461e+17	1.763	-0.1875	0.25	3.12e+26
 2.344e-06	1.907e+15	2.456e+17	1.762	-0.1884	0.25	3.135e+26
